N = 98038, log(prod) = 1.93e-308 x 2^-140000, diff 0.01740
N = 98729, log(prod) = 1.47e-308 x 2^-141000, diff 0.01726
N = 99401, log(prod) = 8.82e-308 x 2^-142000, diff 0.01691
N = 100103, log(prod) = 2.98e-308 x 2^-143000, diff 0.01689
N = 100801, log(prod) = 4.74e-308 x 2^-144000, diff 0.01682
N = 101543, log(prod) = 2.68e-308 x 2^-145000, diff 0.01718
N = 102218, log(prod) = 1.89e-308 x 2^-146000, diff 0.01690
N = 102897, log(prod) = 7.12e-308 x 2^-147000, diff 0.01663
N = 103615, log(prod) = 7.66e-308 x 2^-148000, diff 0.01676
N = 104303, log(prod) = 8.30e-308 x 2^-149000, diff 0.01660
N = 104986, log(prod) = 7.73e-308 x 2^-150000, diff 0.01639
N = 105703, log(prod) = 7.72e-308 x 2^-151000, diff 0.01651
N = 106401, log(prod) = 9.29e-309 x 2^-152000, diff 0.01647
N = 107069, log(prod) = 5.23e-308 x 2^-153000, diff 0.01611
N = 107768, log(prod) = 3.35e-308 x 2^-154000, diff 0.01607
N = 108442, log(prod) = 5.81e-308 x 2^-155000, diff 0.01578
N = 109127, log(prod) = 5.45e-308 x 2^-156000, diff 0.01561
N = 109805, log(prod) = 4.06e-308 x 2^-157000, diff 0.01538
N = 110473, log(prod) = 7.37e-308 x 2^-158000, diff 0.01505
N = 111203, log(prod) = 7.87e-308 x 2^-159000, diff 0.01528
N = 111914, log(prod) = 1.03e-308 x 2^-160000, diff 0.01537
N = 112623, log(prod) = 3.08e-308 x 2^-161000, diff 0.01540
N = 113321, log(prod) = 5.91e-308 x 2^-162000, diff 0.01534
N = 114006, log(prod) = 5.28e-308 x 2^-163000, diff 0.01518
N = 114684, log(prod) = 1.31e-308 x 2^-164000, diff 0.01497
N = 115363, log(prod) = 3.80e-309 x 2^-165000, diff 0.01477
N = 116098, log(prod) = 9.99e-309 x 2^-166000, diff 0.01503
